Address,code,value
20011395420,42111,1000000
20011395420,44418,20000
20011395420,45111,350000
20011395420,45211,200000
20001385412,42111,1500000
20001385412,44111,300000
20001385412,45111,300000
20001385412,45211,700000
20001385423,42111,2000000
20001385423,44111,100000
20001385423,44418,50000
20001385423,45111,450000
20001385423,45211,500000
20001385420,42111,1200000
20001385420,44111,80000
20001385420,44418,50000
20001385420,45111,260000
20001385420,45211,360000
20011395407,42214,600000
20011395407,45111,1030000
20011395407,45211,750000
20012396607,42111,300000
20012396607,44111,400000
20012396607,44418,50000
20012396607,45111,395000
20012396607,45211,650000
20010394223,42111,1000000
20010394223,44111,160000
20010394223,45111,400000
20010394223,45211,380000
20010394220,42214,500000
20010394220,44111,600000
20010394220,45111,230000
20010394220,45212,300000
20010394220,45311,600000
20004387823,42111,1200000
20004387823,44111,96000
20004387823,44418,20000
20004387823,45111,260000
20004387823,45211,360000
20011395423,42214,500000
20011395423,44418,20000
20011395423,45111,160000
20011395423,45211,600000
20011395416,42111,800000
20011395416,44418,20000
20011395416,45111,380000
20011395416,45211,420000
20013397823,42111,2000000
20013397823,44111,200000
20013397823,45111,500000
20013397823,45211,370000
20013397814,42111,700000
20013397814,44111,700000
20013397814,44418,20000
20013397814,45111,610000
20013397814,45211,950000
20013397820,42111,700000
20013397820,44111,780000
20013397820,44312,600000
20013397820,44418,20000
20013397820,45111,1000000
20013397820,45211,1500000
20011395415,42214,1500000
20011395415,44418,20000
20011395415,45111,300000
20011395415,45211,500000
20011395411,42111,800000
20011395411,45111,1030000
20011395411,45211,750000
20005389011,42111,1500000
20005389011,44111,150000
20005389011,45111,400000
20005389011,45211,600000
20005389018,42111,300000
20005389018,44111,270000
20005389018,44418,50000
20005389018,45111,455000
20005389018,45211,700000
20005389020,42111,1500000
20005389020,44111,300000
20005389020,45111,200000
20005389020,45211,300000
20005389023,42111,200000
20012396614,42111,1000000
20012396614,44111,200000
20012396614,44418,50000
20012396614,45111,160000
20012396614,45211,200000
20005389014,42111,1500000
20005389014,44111,1260000
20005389014,45111,350000
20005389014,45211,150000
20007392611,42111,1300000
20007392611,44111,107000
20007392611,45111,145000
20007392611,45211,256000
20007392615,42111,900000
20007392615,44111,102000
20007392615,45111,193000
20007392615,45211,228000
20007392623,42111,1400000
20007392623,44111,133000
20007392623,45111,158000
20007392623,45211,415000
20003386613,42111,800000
20003386613,45111,300000
20003386613,45212,500000
20003386620,42214,1000000
20003386620,45111,220000
20003386620,45211,850000
20004387809,42111,1700000
20004387809,44111,287000
20004387809,44418,35000
20004387809,45111,430000
20004387809,45211,139000
20004387817,42111,1500000
20004387817,44111,57000
20004387817,44418,35000
20004387817,45111,250000
20004387817,45211,736000
20004387820,42111,1200000
20004387820,44111,89000
20004387820,45111,157000
20004387820,45211,318000
20004387811,42111,2500000
20004387811,44111,45000
20004387811,44418,50000
20004387811,45111,195000
20004387811,45211,670000
20003386609,42214,500000
20003386609,44418,50000
20003386609,45111,520000
20003386609,45211,700000
20003386614,42111,2000000
20003386614,44418,25000
20003386614,45111,800000
20003386614,45211,700000
20010394211,42111,200000
20010394217,42111,2000000
20010394217,44111,250000
20010394217,45111,300000
20010394217,45211,420000
20010394208,42111,1500000
20010394208,44111,1000000
20010394208,45111,1000000
20010394208,45211,2000000
20004387813,42111,2000000
20004387813,44111,120000
20004387813,44418,30000
20004387813,45111,120000
20004387813,45211,370000
20003386610,42111,200000
20003386610,45111,1050000
20003386610,45211,450000
