Address,member,subsidy_number,subsidy_month,subsidy,Fasl,year
20011395420,1,3,12,16380000,1,98
20001385412,1,4,12,21840000,1,98
20001385423,1,2,12,10920000,1,98
20001385420,1,1,12,5460000,1,98
20011395407,1,4,12,21840000,1,98
20004387823,1,2,12,10920000,1,98
20011395423,1,4,12,21840000,1,98
20011395416,1,2,12,10920000,1,98
20011395415,1,3,12,16380000,1,98
20011395411,1,2,12,10920000,1,98
20005389011,1,2,12,10920000,1,98
20005389018,1,3,12,16380000,1,98
20005389020,1,1,12,5460000,1,98
20005389023,1,1,12,5460000,1,98
20012396607,1,1,12,5460000,1,98
20010394223,1,5,12,27300000,1,98
20010394220,1,2,12,10920000,1,98
20012396620,1,2,12,10920000,1,98
20012396609,1,2,12,10920000,1,98
20013397807,1,1,12,5460000,1,98
20013397808,1,3,12,16380000,1,98
20013397817,1,1,12,5460000,1,98
20013397823,1,2,12,10920000,1,98
20013397814,1,4,12,21840000,1,98
20010394211,1,2,12,10920000,1,98
20010394217,1,5,12,27300000,1,98
20010394208,1,6,12,32760000,1,98
20004387813,1,2,12,10920000,1,98
20003386610,1,2,12,10920000,1,98
20003386613,1,1,12,5460000,1,98
20003386620,1,2,12,10920000,1,98
20004387809,1,5,12,27300000,1,98
20004387817,1,4,12,21840000,1,98
20004387820,1,2,12,10920000,1,98
20004387811,1,2,12,10920000,1,98
20006390211,1,2,12,10920000,1,98
20006390209,1,5,12,27300000,1,98
20007392620,1,2,12,10920000,1,98
20007392616,1,3,12,16380000,1,98
20007392611,1,3,12,16380000,1,98
20007392615,1,3,12,16380000,1,98
20007391407,1,1,12,5460000,1,98
20007391408,1,4,12,21840000,1,98
20007391420,1,1,12,5460000,1,98
20005389008,1,2,12,10920000,1,98
20007391415,1,2,12,10920000,1,98
20001385415,1,2,12,10920000,1,98
20001385408,1,2,12,10920000,1,98
20007391423,1,2,12,10920000,1,98
20001384223,1,4,12,21840000,1,98
20001384207,1,3,12,16380000,1,98
20001384208,1,2,12,10920000,1,98
20001384215,1,4,12,21840000,1,98
20001384220,1,3,12,16380000,1,98
20001384214,1,1,12,5460000,1,98
20007391820,1,5,12,27300000,1,98
20007391811,1,5,12,27300000,1,98
20007391823,1,3,12,16380000,1,98
20007391814,1,2,12,10920000,1,98
20007391817,1,5,12,27300000,1,98
20007391808,1,3,12,16380000,1,98
20003387014,1,2,12,10920000,1,98
20003387017,1,2,12,10920000,1,98
20003387023,1,3,12,16380000,1,98
20003387008,1,2,12,10920000,1,98
20012395823,1,2,12,10920000,1,98
20012395811,1,3,12,16380000,1,98
20003387007,1,3,12,16380000,1,98
20011394613,1,2,12,10920000,1,98
20012395820,1,4,12,21840000,1,98
20002385814,1,4,12,21840000,1,98
20002385823,1,3,12,16380000,1,98
20002385808,1,1,12,5460000,1,98
20002385811,1,2,12,10920000,1,98
20011394623,1,3,12,16380000,1,98
20011394620,1,4,12,21840000,1,98
20012395817,1,4,12,21840000,1,98
20013397008,1,5,12,27300000,1,98
20013397020,1,3,12,16380000,1,98
20009393015,1,2,12,10920000,1,98
20009393020,1,3,12,16380000,1,98
20009393011,1,3,12,16380000,1,98
20012395808,1,3,12,16380000,1,98
20001384609,1,2,12,10920000,1,98
20001384616,1,6,12,32760000,1,98
20004388217,1,2,12,10920000,1,98
20011394611,1,3,12,16380000,1,98
20002385820,1,2,12,10920000,1,98
20009393008,1,3,12,16380000,1,98
20004388214,1,2,12,10920000,1,98
20004388220,1,5,12,27300000,1,98
20010393414,1,2,12,10920000,1,98
20004388208,1,2,12,10920000,1,98
20001384608,1,3,12,16380000,1,98
20001384617,1,2,12,10920000,1,98
20013397023,1,3,12,16380000,1,98
20001384623,1,2,12,10920000,1,98
20011394608,1,4,12,21840000,1,98
20013397013,1,3,12,16380000,1,98
20006390620,1,2,12,10920000,1,98
20006390611,1,8,12,43680000,1,98
20006390614,1,3,12,16380000,1,98
20006390608,1,4,12,21840000,1,98
20004388223,1,1,12,5460000,1,98
20013397007,1,4,12,21840000,1,98
20010393415,1,4,12,21840000,1,98
20006390617,1,5,12,27300000,1,98
20010393411,1,2,12,10920000,1,98
20006390623,1,4,12,21840000,1,98
20006389412,1,4,12,21840000,1,98
20006389416,1,4,12,21840000,1,98
20006389420,1,3,12,16380000,1,98
20005388616,1,4,12,21840000,1,98
20005388610,1,4,12,21840000,1,98
20005388610,5,1,4,1820000,1,98
20005388623,1,4,12,21840000,1,98
20004387408,1,4,12,21840000,1,98
20004387417,1,1,12,5460000,1,98
20012395814,2,1,12,5460000,1,98
20007391414,1,2,12,10920000,1,98
20003387020,1,3,12,16380000,1,98
20005388609,1,5,12,27300000,1,98
20006389423,1,4,12,21840000,1,98
20010393407,1,5,12,27300000,1,98
20010393423,1,2,12,10920000,1,98
20006389411,1,4,12,21840000,1,98
20010393823,1,5,12,27300000,1,98
20011394614,1,4,12,21840000,1,98
20010393810,1,5,12,27300000,1,98
20012396208,1,4,12,21840000,1,98
20012396213,1,2,12,10920000,1,98
20012396214,1,2,12,10920000,1,98
20012396220,1,4,12,21840000,1,98
20010393820,1,3,12,16380000,1,98
20004387414,1,4,12,21840000,1,98
20004387411,1,2,12,10920000,1,98
20004387420,1,4,12,21840000,1,98
20010393808,1,2,12,10920000,1,98
20004387423,1,4,12,21840000,1,98
20012396211,1,4,12,21840000,1,98
20010393813,1,5,12,27300000,1,98
20011395020,1,3,12,16380000,1,98
20011395015,1,3,12,16380000,1,98
20002386220,1,3,12,16380000,1,98
20006389817,1,4,12,21840000,1,98
20006389814,1,5,12,27300000,1,98
20010393818,1,4,12,21840000,1,98
20013397408,1,3,12,16380000,1,98
20013397417,1,2,12,10920000,1,98
20011395008,1,5,12,27300000,1,98
20011395023,1,5,12,27300000,1,98
20006389823,1,5,12,27300000,1,98
20001385023,1,3,12,16380000,1,98
20002386223,1,2,12,10920000,1,98
20001385018,1,3,12,16380000,1,98
20001385014,1,4,12,21840000,1,98
20013397412,1,4,12,21840000,1,98
20002386212,1,1,12,5460000,1,98
20002386216,1,2,12,10920000,1,98
20001385007,1,5,12,27300000,1,98
20013397423,1,1,12,5460000,1,98
20013397420,1,4,12,21840000,1,98
20001385009,1,6,12,32760000,1,98
20007392214,1,1,12,5460000,1,98
20007392208,1,4,12,21840000,1,98
20007392220,1,2,12,10920000,1,98
20007392211,1,2,12,10920000,1,98
20007392223,1,3,12,16380000,1,98
20007391017,1,3,12,16380000,1,98
20007392217,1,5,12,27300000,1,98
20007391008,1,2,12,10920000,1,98
20007391015,1,4,12,21840000,1,98
20011395014,1,2,12,10920000,1,98
20007391020,1,3,12,16380000,1,98
20006389820,1,4,12,21840000,1,98
20007391009,1,3,12,16380000,1,98
