Address,member,relation,gender,age,literacy,studying,degree,occupationalst,maritalst
21702576225,2,Spouse,Female,37,illiterate,,,employed,Married
21702576225,3,Child,Female,13,literate,No,Elemantry,Housewife,Single
21702576225,4,Child,Male,8,literate,Yes,Elemantry,,
21702576225,5,Child,Male,3,,,,,
21702576229,1,Head,Male,45,literate,No,Secondary,employed,Married
21702576229,2,Spouse,Female,41,illiterate,,,employed,Married
21702576229,3,Child,Male,15,literate,Yes,Secondary,Student,Single
21702576229,4,Child,Female,12,literate,Yes,Elemantry,Student,Single
21702576229,5,Child,Male,10,literate,Yes,Elemantry,Student,Single
21702576232,1,Head,Male,60,illiterate,,,employed,Married
21702576232,2,Spouse,Female,42,illiterate,,,employed,Married
21702576232,3,Child,Female,24,literate,No,Elemantry,Housewife,Single
21702576232,4,Child,Female,19,literate,No,Elemantry,Housewife,Single
21702576232,5,Child,Male,14,literate,Yes,Secondary,Student,Single
21702576235,1,Head,Male,38,illiterate,,,employed,Married
21702576235,2,Spouse,Female,38,illiterate,,,Housewife,Married
21702576235,3,Child,Male,15,literate,Yes,Secondary,Student,Single
21702576235,4,Child,Female,11,literate,No,Elemantry,Housewife,Single
21702576235,5,Child,Male,7,literate,Yes,Elemantry,,
21702576235,6,Child,Male,1,,,,,
21702576238,1,Head,Male,36,illiterate,,,employed,Married
21702576238,2,Spouse,Female,36,illiterate,,,employed,Married
21702576238,3,Child,Female,14,literate,No,Elemantry,Housewife,Single
21702576238,4,Child,Male,12,literate,Yes,Elemantry,Student,Single
21702576238,5,Child,Male,8,literate,Yes,Elemantry,,
21702576238,6,Child,Male,7,literate,Yes,Elemantry,,
21702576238,7,Child,Male,5,,,,,
21702576238,8,Child,Male,0,,,,,
21702576241,1,Head,Female,60,illiterate,,,IncomeWOJob,Widowed
21702576626,1,Head,Female,69,illiterate,,,IncomeWOJob,Widowed
21702576629,1,Head,Male,69,illiterate,,,employed,Married
21702576629,2,Spouse,Female,67,illiterate,,,Housewife,Married
21702576629,3,Child,Female,36,literate,No,Elemantry,Housewife,Single
21702576632,1,Head,Male,59,literate,No,Elemantry,employed,Married
21702576632,2,Spouse,Female,66,illiterate,,,Housewife,Married
21702576635,1,Head,Male,61,illiterate,,,employed,Married
21702576635,2,Spouse,Female,59,illiterate,,,Housewife,Married
21702576635,3,Child,Male,33,literate,No,College,employed,Single
21702576635,4,Child,Female,24,literate,No,Diploma,Housewife,Single
21702576638,1,Head,Male,67,literate,No,Elemantry,employed,Married
21702576638,2,Spouse,Female,55,literate,No,Elemantry,Housewife,Married
21702576641,1,Head,Male,80,illiterate,,,employed,Married
21702576641,2,Spouse,Female,74,illiterate,,,Housewife,Married
21702576641,3,Child,Male,43,literate,No,Secondary,unemployed,Single
21703577026,1,Head,Male,68,illiterate,,,employed,Married
21703577026,2,Spouse,Female,62,illiterate,,,Housewife,Married
21703577026,3,Child,Female,31,literate,No,Diploma,unemployed,Single
21703577029,1,Head,Female,68,illiterate,,,IncomeWOJob,Widowed
21703577032,1,Head,Male,54,literate,No,Secondary,employed,Married
21703577032,2,Spouse,Female,45,literate,No,Secondary,Housewife,Married
21703577035,1,Head,Female,76,illiterate,,,IncomeWOJob,Widowed
21703577035,2,Child,Female,33,literate,No,Secondary,unemployed,Single
21703577038,1,Head,Male,67,literate,No,Elemantry,employed,Married
21703577038,2,Spouse,Female,63,illiterate,,,Housewife,Married
21703577038,3,Child,Female,35,literate,No,Diploma,unemployed,Single
21703577041,1,Head,Male,41,literate,No,Elemantry,employed,Married
21703577041,2,Spouse,Female,37,literate,No,Elemantry,Housewife,Married
21703577041,3,Child,Female,17,literate,No,Secondary,unemployed,Single
21703577041,4,Child,Female,15,literate,Yes,Secondary,Student,Single
21703577041,5,Child,Male,5,,,,,
21703577425,1,Head,Male,33,literate,No,Diploma,employed,Single
21703577425,2,Parent,Female,60,illiterate,,,IncomeWOJob,Widowed
21703577429,1,Head,Female,69,illiterate,,,IncomeWOJob,Widowed
21703577432,1,Head,Male,80,illiterate,,,employed,Married
21703577432,2,Spouse,Female,73,illiterate,,,Housewife,Married
